,latitude,longitude,speed,long_acc,lat_acc,time,track_id
0, 37.985205, 23.728228, 34.6385, -0.0736, -0.0134, 41.200000,1
1, 37.984347, 23.726570, 32.6217, -0.0128, -0.0022, 51.600000,2
2, 37.984221, 23.726728, 23.6019, -0.0385, -0.6000, 140.200000,3
3, 37.982561, 23.729396, 39.1110, -0.1908, -0.0227, 2.800000,4
4, 37.984359, 23.726571, 35.4176, -0.0043, 0.1849, 54.000000,5
5, 37.986013, 23.729903, 27.3045, -0.5511, 0.7225, 160.600000,6
6, 37.982589, 23.729434, 46.0558, -0.2274, -0.2452, 13.200000,7
7, 37.982578, 23.729394, 42.7264, -0.2991, 0.0115, 80.000000,8
8, 37.985234, 23.728272, 42.3037, -0.0455, 0.0014, 32.000000,9
9, 37.985244, 23.728287, 36.2882, 0.0945, -0.0140, 42.000000,10
10, 37.982561, 23.729376, 22.5935, -0.4532, -0.0210, 87.000000,11
11, 37.984238, 23.726762, 22.0658, 0.1586, 0.6396, 1.800000,12
12, 37.984235, 23.726763, 25.9623, 0.0000, 0.0000, 0.200000,13
13, 37.984234, 23.726748, 20.8336, -0.0000, -0.0000, 0.600000,14
14, 37.984236, 23.726756, 19.8684, 2.4071, -0.3556, 3.400000,15
15, 37.984349, 23.726546, 27.2310, 0.2347, 0.5610, 2.800000,16
16, 37.986019, 23.729898, 33.5183, -0.1713, 0.0359, 410.000000,17
17, 37.985505, 23.728815, 18.3427, 0.1246, -0.0184, 48.000000,18
18, 37.984247, 23.732142, 27.9592, -0.0259, -0.0040, 498.200000,19
19, 37.985231, 23.728258, 37.0996, 0.0638, -0.1066, 760.200000,20
20, 37.982768, 23.729266, 33.7860, 0.0379, -0.2475, 29.800000,21
21, 37.982746, 23.729281, 32.1457, -0.0088, 0.1443, 33.000000,22
22, 37.982773, 23.729256, 31.4602, 0.0144, -0.0583, 31.000000,23
23, 37.985225, 23.728230, 44.8013, 0.1377, 0.6747, 120.800000,24
24, 37.985224, 23.728238, 45.0004, 1.5351, 0.3149, 122.400000,25
25, 37.985272, 23.728298, 18.6237, 0.0743, 0.2159, 136.800000,26
26, 37.982772, 23.729259, 34.7273, 0.9948, 0.3683, 38.400000,27
27, 37.982872, 23.729222, 31.1128, 0.0006, -0.1188, 43.000000,28
28, 37.982798, 23.729282, 32.0170, 0.3816, 0.6169, 45.400000,29
29, 37.982791, 23.729278, 24.5180, 0.0245, 0.1591, 40.800000,30
30, 37.982785, 23.729277, 34.2943, -0.6445, 0.0152, 19.000000,31
31, 37.982717, 23.729259, 39.4554, -0.0617, -0.1294, 20.000000,32
32, 37.982748, 23.729251, 49.5013, 2.3209, -0.6261, 19.000000,33
33, 37.982783, 23.729261, 31.7426, 0.5626, 0.6343, 18.600000,34
34, 37.982773, 23.729262, 37.6083, 0.2251, -0.4321, 20.600000,35
35, 37.985246, 23.728317, 4.1182, 0.0462, -0.1977, 197.400000,36
36, 37.985224, 23.728260, 22.0204, -0.0091, -0.3580, 2.800000,37
37, 37.985202, 23.728250, 19.0349, 0.1497, -0.2128, 4.200000,38
38, 37.985256, 23.728307, 11.3512, -1.0065, -0.0000, 17.400000,39
39, 37.985226, 23.728287, 31.8358, 0.0000, 0.0000, 0.400000,40
40, 37.983988, 23.732339, 33.3899, -0.0747, -0.0236, 267.400000,41
41, 37.982585, 23.729439, 41.2875, -0.2209, -0.1989, 89.200000,42
42, 37.985242, 23.728243, 47.0946, -1.0390, -0.1829, 135.400000,43
43, 37.983610, 23.731224, 5.5475, -0.0005, 0.0198, 160.600000,44
44, 37.984189, 23.732361, 18.0711, -0.0445, -0.6572, 10.400000,45
45, 37.984253, 23.726750, 12.9443, 0.0472, -0.8280, 41.000000,46
46, 37.985217, 23.728238, 77.1026, 20.2330, -0.3850, 26.200000,47
47, 37.984767, 23.729636, 0.4931, -0.0145, 0.0000, 73.000000,48
48, 37.986009, 23.729896, 34.2064, -0.5602, 0.0447, 50.600000,49
49, 37.986013, 23.729900, 34.1504, -0.3128, 0.0308, 49.600000,50
50, 37.986026, 23.729912, 35.3822, -0.3670, -0.0024, 48.800000,51
51, 37.982777, 23.729272, 35.0429, 0.0865, 0.0290, 33.600000,52
52, 37.983996, 23.732349, 33.5743, -0.1339, 0.0075, 51.800000,53
53, 37.985792, 23.729876, 1.2781, -0.1094, -0.0000, 40.000000,54
54, 37.986020, 23.729906, 27.6995, 0.0842, 0.2580, 54.800000,55
55, 37.984001, 23.732376, 37.1091, -0.1638, -0.1695, 38.200000,56
56, 37.982804, 23.729280, 33.0609, -0.1120, 0.0084, 506.000000,57
57, 37.982573, 23.729412, 38.8784, 0.1578, -0.7933, 4.400000,58
58, 37.984356, 23.726556, 47.5081, -0.2120, -0.0505, 46.200000,59
59, 37.984359, 23.726551, 46.0313, -0.0051, -0.0437, 48.400000,60
60, 37.985228, 23.728255, 40.8387, -0.0258, 0.0322, 40.200000,61
61, 37.984364, 23.726581, 47.2371, -0.2345, -0.0327, 44.800000,62
62, 37.984358, 23.726557, 37.2235, -0.0303, 0.0135, 41.200000,63
63, 37.984233, 23.726745, 16.1101, 1.8941, -0.9032, 45.000000,64
64, 37.984333, 23.726586, 32.6206, 0.1418, 0.5061, 36.800000,65
65, 37.984189, 23.726716, 14.8014, -0.0252, 0.3187, 44.600000,66
66, 37.984230, 23.726745, 15.7650, -0.0648, -0.2735, 46.600000,67
67, 37.984330, 23.726581, 39.6661, -0.1502, 0.0545, 48.600000,68
68, 37.985244, 23.728272, 37.6149, 0.0242, -0.1821, 29.800000,69
69, 37.985202, 23.728245, 43.2871, -0.1868, 0.0417, 28.000000,70
70, 37.985219, 23.728297, 19.9090, -0.1395, 0.0004, 36.400000,71
71, 37.982802, 23.729283, 32.9406, 0.1175, -0.0676, 21.800000,72
72, 37.985224, 23.728279, 34.5678, -0.2017, 0.1605, 44.400000,73
73, 37.982652, 23.729369, 33.5968, 0.3997, 0.1046, 79.800000,74
74, 37.984350, 23.726563, 29.1482, 0.0762, -0.3541, 133.800000,75
75, 37.982585, 23.729426, 19.2402, 0.4395, 0.0565, 89.600000,76
76, 37.982585, 23.729439, 8.4720, 1.7904, 9.1437, 88.400000,77
77, 37.982634, 23.729407, 11.2815, 0.5436, -0.1114, 85.800000,78
78, 37.984326, 23.726601, 29.5532, 0.0983, -0.0231, 135.800000,79
79, 37.984352, 23.726577, 32.3685, -0.3596, 0.1369, 125.400000,80
80, 37.982592, 23.729458, 29.3758, -2.5976, 0.0000, 80.400000,81
81, 37.982594, 23.729438, 17.8807, 0.4358, -0.0608, 71.400000,82
82, 37.984332, 23.726570, 37.0172, 0.0975, -0.1058, 50.200000,83
83, 37.985216, 23.728228, 47.1286, -0.5258, 1.2253, 31.800000,84
84, 37.982581, 23.729434, 69.5787, 19.2551, -0.1256, 15.000000,85
85, 37.982495, 23.728917, 11.9610, -0.0606, 0.2570, 20.000000,86
86, 37.982589, 23.729449, 17.5094, 0.5434, -0.0222, 12.000000,87
87, 37.982574, 23.729459, 14.4582, 0.6275, -0.0106, 14.200000,88
88, 37.982575, 23.729425, 20.1230, 0.5771, -0.1603, 12.200000,89
89, 37.982577, 23.729440, 20.0463, 0.9281, 0.3581, 10.600000,90
90, 37.982556, 23.729393, 21.9395, 0.7423, 0.0110, 13.200000,91
91, 37.982587, 23.729451, 26.2643, -0.1428, 0.0092, 8.800000,92
92, 37.982581, 23.729448, 29.8879, 0.0602, 0.0765, 6.400000,93
93, 37.982596, 23.729447, 17.1090, 0.4333, -0.0099, 6.600000,94
94, 37.982583, 23.729423, 72.0213, -0.5979, -0.1914, 16.200000,95
95, 37.984346, 23.726588, 24.9159, -0.0483, -0.0063, 39.800000,96
96, 37.984335, 23.726564, 27.8171, -0.1641, 0.0773, 39.200000,97
97, 37.984009, 23.732387, 23.8963, -0.6426, -0.0290, 39.200000,98
98, 37.983987, 23.732358, 28.1248, 0.9401, -0.0272, 38.000000,99
99, 37.982766, 23.729271, 29.2294, 0.0798, -0.1453, 22.800000,100
100, 37.985320, 23.730715, 0.0000, 0.0000, 0.0000, 153.600000,101
101, 37.983990, 23.732353, 40.9643, 0.8456, 0.2792, 45.600000,102
102, 37.984731, 23.733444, 26.3132, 1.0520, 0.1061, 65.600000,103
103, 37.985222, 23.730758, 13.4123, -0.1452, -0.0337, 50.000000,104
104, 37.985352, 23.730727, 12.6460, 0.1155, 0.0035, 50.200000,105
105, 37.985293, 23.730729, 10.0265, 0.2388, -0.1408, 33.200000,106
106, 37.985315, 23.730720, 8.9848, 0.2250, -0.0618, 29.400000,107
107, 37.984012, 23.732380, 35.0258, -0.0528, 0.0177, 41.200000,108
108, 37.984008, 23.732357, 42.4635, -0.2345, -0.0070, 39.200000,109
109, 37.984008, 23.732375, 43.9184, -0.4131, -0.0134, 37.000000,110
110, 37.982803, 23.729281, 30.5461, 0.0687, -0.0222, 23.800000,111
111, 37.982779, 23.729257, 23.9104, 0.0310, 0.0886, 24.000000,112
112, 37.985251, 23.728284, 36.6968, -0.0572, -0.0247, 122.000000,113
113, 37.984415, 23.731989, 22.5703, -0.8050, 0.2114, 37.200000,114
114, 37.982591, 23.729353, 30.6629, -0.0550, 0.0977, 30.000000,115
115, 37.982751, 23.729274, 24.0546, 0.0355, 0.0176, 26.000000,116
